"sampleNumber","slug","title","loaded","bodyTextLength","articleLinkCount","unresolvedLinkCount","imageCount","brokenImages","horizontalOverflow","articleOverflow","issues","screenshot"
"1","brain-computer-interface-neural-readwrite","Brain-Computer Interface Neural Read/Write","true","10620","24","0","0","0","false","false","","screenshots/001.png"
"2","quantum-supertimeposition","Quantum Supertimeposition","true","3104","13","0","0","0","false","false","","screenshots/002.png"
"3","gh-b0091y","Gh B0091Y","true","8939","2","0","0","0","false","false","","screenshots/003.png"
"4","saov9-cycle-10-emotion-dreams","SAOv9 Cycle 10: Emotion, Dreams, Spirit, World Views, Distortions","true","7186","2","0","0","0","false","false","","screenshots/004.png"
"5","thalamo-cortical-information-flow","Thalamo Cortical Information Flow","true","2428","17","0","0","0","false","false","","screenshots/005.png"
"6","happiness-makeover-brainwave-chart-2012","Happiness Makeover Brainwave Chart 2012","true","4865","40","0","0","0","false","false","","screenshots/006.png"
"7","gh-a0391z","Gh A0391Z","true","1687","1","0","0","0","false","false","","screenshots/007.png"
"8","hebbian-engrams","Hebbian Engrams","true","6791","66","0","0","0","false","false","","screenshots/008.png"
"9","self-aware-networks-book-overview","Self Aware Networks Book Overview","true","1984","19","0","0","0","false","false","","screenshots/009.png"
"10","gh-b0148y","Gh B0148Y","true","7756","4","0","0","0","false","false","","screenshots/010.png"
"11","neural-lace-journal","Neural Lace Journal","true","6319","66","0","0","0","false","false","","screenshots/011.png"
"12","gh-a0224z","Gh A0224Z","true","3058","5","0","0","0","false","false","","screenshots/012.png"
"13","holographic-brain","Holographic Brain","true","9007","58","0","0","0","false","false","","screenshots/013.png"
"14","coincidence-as-a-bit","Coincidence as a Bit","true","9944","27","0","0","0","false","false","","screenshots/014.png"
"15","sit-v76-gap-filling-svgn","SIT V76 Gap Filling (SVGN)","true","3659","29","0","0","0","false","false","","screenshots/015.png"
"16","gh-a0533z","Gh A0533Z","true","1308","7","0","0","0","false","false","","screenshots/016.png"
"17","gh-a0324z","The neural basis of psychedelic action","true","12331","21","0","0","0","false","false","","screenshots/017.png"
"18","gh-oldhome","The Self Aware Networks Institute Wiki on github!","true","23450","89","0","1","0","false","false","","screenshots/018.png"
"19","gh-rexnote01","Document 1","true","23603","37","0","0","0","false","false","","screenshots/019.png"
"20","neural-array-projection-oscillation-tomography","Neural Array Projection Oscillation Tomography","true","7390","18","0","0","0","false","false","","screenshots/020.png"
"21","oscillation-memory-reinstatement","Oscillation and Memory Reinstatement","true","10718","18","0","0","0","false","false","","screenshots/021.png"
"22","dissipative-system-cognition","Dissipative System Cognition","true","7777","182","0","1","0","false","false","","screenshots/022.png"
"23","gh-a0010z","Oscillators, Electromagnetic Phase Fields, and Spacetime Curvature","true","28489","313","0","0","0","false","false","","screenshots/023.png"
"24","contentless-observer","Contentless Observer","true","4548","6","0","0","0","false","false","","screenshots/024.png"
"25","gh-original-archive-b0316yrecorder","Gh Original Archive B0316Yrecorder","true","114214","141","0","0","0","false","false","","screenshots/025.png"
"26","gh-a0400z","Gh A0400Z","true","1050","3","0","0","0","false","false","","screenshots/026.png"
"27","long-term-potentiation","Long Term Potentiation","true","13986","98","0","1","0","false","false","","screenshots/027.png"
"28","neuron-analogies-telegraph-clock-geiger","Neuron Analogies Telegraph Clock Geiger","true","1097","8","0","0","0","false","false","","screenshots/028.png"
"29","intention-detection","Intention Detection","true","6537","40","0","0","0","false","false","","screenshots/029.png"
"30","gh-b0233y","Gh B0233Y","true","16668","83","0","0","0","false","false","","screenshots/030.png"
"31","fourier-slice-theorem","Fourier Slice Theorem","true","9733","74","0","0","0","false","false","","screenshots/031.png"
"32","gh-b0070y","Gh B0070Y","true","28063","29","0","0","0","false","false","","screenshots/032.png"
"33","action-potential-magnetic-phase-field","Action-Potential Magnetic Field","true","10919","18","0","0","0","false","false","","screenshots/033.png"
"34","oca-glossary","OCA Glossary","true","2536","20","0","0","0","false","false","","screenshots/034.png"
