"filename","legacy_source","sha256"
"#1 Happiness Makeover w Brainwave Chart.txt","sources/2011-2022-audio-transcripts-whisper-2026","B51ADBD5DB65548FB4755CF3165FFE6F67FF22E7CC0740862506F8380B0D07C4"
"2nd live talk with NeoMindCycle.com founder Micah Blumberg, and Chickenman Mark Andrews.txt","sources/2011-2022-audio-transcripts-whisper-2026","DDA98BFD95DF4E07EC22B9DD27C20F44421C64F34DF6ACDE22AC059FC79FE506"
"Ben Thomas, The Connectome speaks to Micah, Neo Mind Cycle.txt","sources/2011-2022-audio-transcripts-whisper-2026","AD35A198AD89CD8DC7B608ED62EB84FB069D5DC8ED13E9626367945F3E158320"
"Ben Thomas, The Connectome, and Micah, Neo Mind Cycle.txt","sources/2011-2022-audio-transcripts-whisper-2026","7B5372DAC82380E009E15EF85C30B70243367DC48B9C60E30CE15BF893A78415"
"Chicken Cloud.txt","sources/2011-2022-audio-transcripts-whisper-2026","F6D63A24CE27F9EF5FC63DEBA1ED50F15D78086D1F50FE6DEC56E7D5AEAB2ABC"
"HackDays.txt","sources/2011-2022-audio-transcripts-whisper-2026","4400A13D6309A021AF23EADD85722C96D9B52C35EB3D2B8F78382780C4615274"
"Happiness Makeover with Brainwaves Orientation.txt","sources/2011-2022-audio-transcripts-whisper-2026","84683710A59DAB1FEC5139A76B981AD50E459F214B7A212DA99B81A0384B63BA"
"Happiness Makeover, Neo Mind Cycle Brainwaves, Oakland Peace Portrait Project.txt","sources/2011-2022-audio-transcripts-whisper-2026","8ED7CC24F89D49B436DE168B0C5B3849CD86FE57EE837F711FE6F199278EAB0D"
"Inner Peace Dialog with Deirdre Freeman and Micah Blumberg founder of Neo Mind Cycle.txt","sources/2011-2022-audio-transcripts-whisper-2026","FF42D56EE51A05BB41630966742150CCF482BBD27DF725217953BEF941E2124F"
"Micah Blumberg (2011) Predicting the AGI Alignment, the Mechanical Vishnu and the Singularity.txt","sources/2011-2022-audio-transcripts-whisper-2026","B95A4DA5B2CD5B741ED94F07AB8F6B1EB0850C2EAFD3C468D66770AA4CC08122"
"Micah founder of Neo Mind Cycle, Mark 'Chickenman''' Andrews, My Happiness Makeover.txt","sources/2011-2022-audio-transcripts-whisper-2026","EA6F51433349C485BB2620C54B63DDE230D7FC46C9441D847EEE5CA453B2809C"
"Micah Record's his Brainwaves while laughing, with special guest Dhanesh Solanki.txt","sources/2011-2022-audio-transcripts-whisper-2026","592EDA217CBA8370073DA646B84FB05149DF8E505F3D55F5984A40E915347B08"
"Micah updates Deirdre on his progress doing the 25things Gratitude program!.txt","sources/2011-2022-audio-transcripts-whisper-2026","A6869E5ECA362F49E546BE7595DB8838CD06C66EE8A8ED5974E26A3BE414636A"
"Peace & Inner Peace, Deirdre Freeman, 25things, talks with Micah Blumberg, founder of Neo Mind Cycle.txt","sources/2011-2022-audio-transcripts-whisper-2026","EA360C98C8D13C964D776FF844DF75A343F64059D29D15B08AAAF57D2DB2B660"
"The Self is a Prediction A 2011 Dialogue on Neuroscience, Determinism, and Identity.txt","sources/2011-2022-audio-transcripts-whisper-2026","D2D97294CC2E71E5A7FC402A4D7F18679C4D97C39722547EEDDFD58E565CE017"
