"filename","first_recorded","year","selection_status","sha256"
"a0260y Conanheatseatsthematrix Matrix O'brien Collage-large-v3-turbo-int8-full.txt","2021-06-24T02:33:46.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","A8A91022E5CCBBB4DB9CE2B6B9051F833F527F455E46C3AABC9A9DBBF1AB183D"
"a0262y He was talking about IQ Military Ability-large-v3-turbo-int8-full.txt","2021-06-23T05:24:48.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","8CFE69ACC45D0E4E35F3DD3FCE781E0827775AA90946D4B49C316F7AB9782ABB"
"a0264y Doc Z part 2 Reality Video App-large-v3-turbo-int8-full.txt","2021-06-17T03:06:16.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","1AB43C3B726FF2785DC2DEEF44A3E18E075CD85A96DAA68B677682B54DA11B43"
"a0277y Explaining the brain to Dad Neurons Spikes Dendrite-large-v3-turbo-int8-full.txt","2021-06-02T17:56:16.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","B7DDDCCA04CD2BC5ECD97563229EEA127F183BC454EC54A79E23AE02F1285FB2"
"b0036y Clustering Intuition Action Perception-large-v3-turbo-int8-full.txt","2021-12-29T17:49:15.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","135AB9703316ACC38D50E7CF7F723D2BD88E9C6E61CDFBB7687F1E15D2DCE9BB"
"b0038y Artificial Neurology 1-2-large-v3-turbo-int8-full.txt","2021-12-26T20:07:19.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","F5C8B226F9A8051F77F337A4172EB368885A02DF377BA05FABFE5D159A0A417F"
"b0041y reality is a 3D phase field-large-v3-turbo-int8-full.txt","2021-12-25T23:47:02.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","ACCC08440B66F6CBB05776E2BBC6C4F17860700A7613E39AE3ACCD9EC90A4A78"
"b0044y Signals in the Cortex-large-v3-turbo-int8-full.txt","2021-12-21T02:46:01.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","8F4FD02165AD5DFFFCA7FD09173DCD23D0353E345CBE7E77E8153E59155EA86D"
"b0045y Neurons Photon Inputs (Dec 16, 2021)-large-v3-turbo-int8-full.txt","2021-12-17T21:25:28.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","1EB1638CF0898FE186517A4CECFBE2915B8F12D57751CA48ED8BA0DD7366F4C7"
"b0046y Equations Electricity Cells-large-v3-turbo-int8-full.txt","2021-12-16T19:28:48.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","0DEFE120061243ACACFDE2AFB95CCE3F009BE0F8D47726A017AA14166DFE041D"
"b0047y My history Brain Frequencies-large-v3-turbo-int8-full.txt","2021-12-09T05:59:16.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","0D77FEF97AED247DFC9D799A539178742A935D958BEDAFD5D3CBEB3DEBD0A794"
"b0050y Spacetime reality as a whole - conversation-large-v3-turbo-int8-full.txt","2021-12-01T04:07:42.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","FC287EC11C25E6EF68F2E7DEC7057F38F39917AA53D8865EB973D2B0A4164193"
"b0051y a few thoughts on the future-large-v3-turbo-int8-full.txt","2021-11-30T04:03:25.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","E85C9420A838C4CDC1412136B35B769FEDC42FDA9CC2049F81F67C96CFA16913"
"b0052y Jon Lief M.D-large-v3-turbo-int8-full.txt","2021-11-27T17:53:37.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","40A51E7D2015437F4B709CDF1DC757341036EAA1EFB43946A0D2A1CA3E2E0F24"
"b0053y Oscillators-large-v3-turbo-int8-full.txt","2021-11-13T05:09:26.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","DBEBC79780AF605227AF17097794BFD6D004C4578CAD81C6203720107A21D288"
"b0054y Receptors Inhibition Pattern-large-v3-turbo-int8-full.txt","2021-11-12T07:58:08.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","C5E767BC6B9F8947FBA9FA4572363DCE349165B9D8E815AA44C828EC28C03872"
"b0055y Oscillators-large-v3-turbo-int8-full.txt","2021-11-11T11:48:31.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","350B09D6074DFECA513F7B50ED4D0EC7B7031157641CCF8A0BF5C1E3CC814947"
